编号,精灵名,蛋种(产蛋形态),蛋组,最小蛋重(kg),最大蛋重(kg),最小蛋高(m),最大蛋高(m),主属性,副属性,属性,进化阶段,精灵形态,地区形态名称,精灵最小身高(m),精灵最大身高(m),精灵最小体重(kg),精灵最大体重(kg),BWiki页面标题,BWiki修订时间,BWiki抓取状态
NO.002,喵喵,喵喵,动物组、拟人组,1.267,1.84,0.23,0.31,草,,草,Ⅰ阶,原始形态,,0.53,0.75,3.62,4.6,喵喵,2026-06-07T04:54:06Z,ok
NO.003,喵呜,喵喵,动物组、拟人组,1.267,1.84,0.23,0.31,草,,草,Ⅱ阶,原始形态,,0.65,0.92,14.2,15.6,喵呜,2026-06-07T13:25:53Z,ok
NO.004,魔力猫,喵喵,动物组、拟人组,1.267,1.84,0.23,0.31,草,,草,最终形态,原始形态,,1.5,2.15,105,125,魔力猫,2026-06-07T14:35:47Z,ok
NO.005,火花,火花,巨灵组、魔力组,2.66,3.4,0.23,0.29,火,,火,Ⅰ阶,原始形态,,0.53,0.71,7.6,8.5,火花,2026-06-07T14:02:42Z,ok
NO.006,焰火,火花,巨灵组、魔力组,2.66,3.4,0.23,0.29,火,,火,Ⅱ阶,原始形态,,0.82,1.1,21,30.7,焰火,2026-06-07T14:04:06Z,ok
NO.007,火神,火花,巨灵组、魔力组,2.66,3.4,0.23,0.29,火,,火,最终形态,原始形态,,1.52,2.18,90.5,110,火神,2026-06-07T14:02:08Z,ok
NO.008,水蓝蓝,水蓝蓝,魔力组,0.998,1.36,0.19,0.27,水,,水,Ⅰ阶,原始形态,,0.45,0.65,2.85,4.205,水蓝蓝,2026-06-07T14:00:06Z,ok
NO.009,波波拉,水蓝蓝,魔力组,0.998,1.36,0.19,0.27,水,,水,Ⅱ阶,原始形态,,0.72,1.03,29.5,34,波波拉,2026-06-07T14:00:19Z,ok
NO.010,水灵,水蓝蓝,魔力组,0.998,1.36,0.19,0.27,水,,水,最终形态,原始形态,,1.08,1.54,77,85.5,水灵,2026-06-07T14:00:03Z,ok
NO.011,鸭吉吉（蓬松的样子）,鸭吉吉（蓬松的样子）,天空组,5.11,7.04,0.28,0.39,普通,,普通,最终形态,原始形态,蓬松的样子,0.65,0.94,14.6,17.6,鸭吉吉（蓬松的样子）,2026-06-07T14:36:58Z,ok
NO.011,鸭吉吉（紧实的样子）,鸭吉吉（紧实的样子）,天空组,1.96,3.28,0.28,0.39,普通,,普通,最终形态,原始形态,紧实的样子,0.65,0.94,5.6,8.2,鸭吉吉（紧实的样子）,2026-06-07T14:36:57Z,ok
NO.011,鸭吉吉（等一等鸭）,鸭吉吉（等一等鸭）,天空组,5.53,7.68,0.28,0.39,普通,,普通,最终形态,原始形态,等一等鸭,0.65,0.94,15.8,19.2,鸭吉吉（等一等鸭）,2026-06-07T14:36:28Z,ok
NO.011,鸭吉吉（起来鸭）,鸭吉吉（起来鸭）,天空组,5.53,7.68,0.28,0.39,普通,,普通,最终形态,原始形态,起来鸭,0.65,0.94,15.8,19.2,鸭吉吉（起来鸭）,2026-06-07T14:37:07Z,ok
NO.011,鸭吉吉（燃了鸭）,鸭吉吉（燃了鸭）,天空组,5.331,7.28,0.29,0.41,普通,,普通,最终形态,原始形态,燃了鸭,0.69,0.98,14.3,18.2,鸭吉吉（燃了鸭）,2026-06-07T14:36:22Z,ok
NO.012,板板壳（本来的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,Ⅰ阶,原始形态,本来的样子,0.53,0.76,7.5,10.5,板板壳（本来的样子）,2026-06-07T16:26:17Z,ok
NO.012,板板壳（蜕皮时的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,Ⅰ阶,地区形态,蜕皮时的样子,0.53,0.76,6.8,9.5,板板壳（蜕皮时的样子）,2026-06-07T13:56:43Z,ok
NO.013,咔咔壳（本来的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,Ⅱ阶,原始形态,本来的样子,0.65,0.92,19.5,24.5,咔咔壳（本来的样子）,2026-06-07T16:32:39Z,ok
NO.013,咔咔壳（蜕皮时的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,Ⅱ阶,地区形态,蜕皮时的样子,0.65,0.92,17.5,22.5,咔咔壳（蜕皮时的样子）,2026-06-07T13:24:47Z,ok
NO.014,水泡壳（本来的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,最终形态,原始形态,本来的样子,1.23,1.75,83.5,94.5,水泡壳（本来的样子）,2026-06-07T16:24:16Z,ok
NO.014,水泡壳（蜕皮时的样子）,板板壳（本来的样子）,两栖组,2.625,4.2,0.23,0.32,水,,水,最终形态,地区形态,蜕皮时的样子,1.23,1.75,79.5,90.5,水泡壳（蜕皮时的样子）,2026-06-07T13:59:55Z,ok
NO.015,锥尾羊,锥尾羊,动物组,4.655,6.6,0.24,0.34,幽,,幽,Ⅰ阶,原始形态,,0.57,0.81,13.3,16.5,锥尾羊,2026-06-07T14:32:33Z,ok
NO.016,铃兰羊,锥尾羊,动物组,4.655,6.6,0.24,0.34,幽,,幽,Ⅱ阶,原始形态,,0.7,1.01,29,36,铃兰羊,2026-06-07T14:32:01Z,ok
NO.017,花影羚羊,锥尾羊,动物组,4.655,6.6,0.24,0.34,幽,恶,幽、恶,最终形态,原始形态,,1.42,1.92,76.9,98,花影羚羊,2026-06-07T03:25:57Z,ok
NO.018,雪绒鸟（本来的样子）,雪绒鸟（本来的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,Ⅰ阶,原始形态,本来的样子,0.38,0.51,2.77,4.5,雪绒鸟（本来的样子）,2026-06-07T16:21:08Z,ok
NO.018,雪绒鸟（春天的样子）,雪绒鸟（春天的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,Ⅰ阶,地区形态,春天的样子,0.38,0.51,2.77,4.5,雪绒鸟（春天的样子）,2026-06-07T14:33:57Z,ok
NO.018,雪绒鸟（夏天的样子）,雪绒鸟（夏天的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,Ⅰ阶,地区形态,夏天的样子,0.38,0.51,2.77,4.5,雪绒鸟（夏天的样子）,2026-06-07T14:33:57Z,ok
NO.018,雪绒鸟（秋天的样子）,雪绒鸟（秋天的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,Ⅰ阶,地区形态,秋天的样子,0.38,0.51,2.77,4.5,雪绒鸟（秋天的样子）,2026-06-07T14:34:01Z,ok
NO.019,冬羽雀（本来的样子）,雪绒鸟（本来的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,Ⅱ阶,原始形态,本来的样子,0.62,0.71,8.92,12.7,冬羽雀（本来的样子）,2026-06-07T16:32:48Z,ok
NO.019,冬羽雀（春天的样子）,雪绒鸟（春天的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,Ⅱ阶,地区形态,春天的样子,0.62,0.71,8.92,12.7,冬羽雀（春天的样子）,2026-06-07T13:18:15Z,ok
NO.019,冬羽雀（夏天的样子）,雪绒鸟（夏天的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,Ⅱ阶,地区形态,夏天的样子,0.62,0.71,8.92,12.7,冬羽雀（夏天的样子）,2026-06-07T13:17:59Z,ok
NO.019,冬羽雀（秋天的样子）,雪绒鸟（秋天的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,Ⅱ阶,地区形态,秋天的样子,0.62,0.71,8.92,12.7,冬羽雀（秋天的样子）,2026-06-07T13:18:30Z,ok
NO.020,岚鸟（本来的样子）,雪绒鸟（本来的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,最终形态,原始形态,本来的样子,1.43,2.04,27.08,32.7,岚鸟（本来的样子）,2026-06-07T16:31:15Z,ok
NO.020,岚鸟（春天的样子）,雪绒鸟（春天的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,最终形态,地区形态,春天的样子,1.43,2.04,27.08,32.7,岚鸟（春天的样子）,2026-06-07T03:23:29Z,ok
NO.020,岚鸟（夏天的样子）,雪绒鸟（夏天的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,最终形态,地区形态,夏天的样子,1.43,2.04,27.08,32.7,岚鸟（夏天的样子）,2026-06-07T03:23:04Z,ok
NO.020,岚鸟（秋天的样子）,雪绒鸟（秋天的样子）,天空组,0.97,1.8,0.16,0.21,翼,,翼,最终形态,地区形态,秋天的样子,1.43,2.04,27.08,32.7,岚鸟（秋天的样子）,2026-06-07T13:37:23Z,ok
NO.021,小灵菇,小灵菇,植物组、魔力组,1.89,2.84,0.18,0.25,幽,,幽,Ⅰ阶,原始形态,,0.43,0.61,5.4,7.1,小灵菇,2026-06-07T13:34:50Z,ok
NO.022,幻灵菇,小灵菇,植物组、魔力组,1.89,2.84,0.18,0.25,幽,草,幽、草,Ⅱ阶,原始形态,,0.64,0.92,13.2,16.5,幻灵菇,2026-06-07T13:39:22Z,ok
NO.023,幻影灵菇,小灵菇,植物组、魔力组,1.89,2.84,0.18,0.25,幽,草,幽、草,最终形态,原始形态,,0.92,1.32,39.4,48.4,幻影灵菇,2026-06-07T13:38:51Z,ok
NO.024,石肤蜥（本来的样子）,石肤蜥（本来的样子）,两栖组、大地组,7.35,13.6,0.21,0.29,地,,地,Ⅰ阶,原始形态,本来的样子,0.49,0.7,21,34,石肤蜥（本来的样子）,2026-06-07T16:24:23Z,ok
NO.024,石肤蜥（球球尾巴的样子）,石肤蜥（本来的样子）,两栖组、大地组,7.35,13.6,0.21,0.29,地,,地,Ⅰ阶,地区形态,球球尾巴的样子,0.49,0.7,19.5,32.5,石肤蜥（球球尾巴的样子）,2026-06-07T14:07:12Z,ok
NO.025,石刺蜥（本来的样子）,石肤蜥（本来的样子）,两栖组、大地组,7.35,13.6,0.21,0.29,地,,地,Ⅱ阶,原始形态,本来的样子,0.67,0.96,59.5,70.5,石刺蜥（本来的样子）,2026-06-07T16:24:38Z,ok
NO.025,石刺蜥（球球尾巴的样子）,石肤蜥（本来的样子）,两栖组、大地组,7.35,13.6,0.21,0.29,地,,地,Ⅱ阶,地区形态,球球尾巴的样子,0.67,0.96,56.5,68.5,石刺蜥（球球尾巴的样子）,2026-06-07T14:06:58Z,ok
NO.026,石冠王蜥（本来的样子）,石肤蜥（本来的样子）,两栖组、大地组,7.35,13.6,0.21,0.29,地,,地,最终形态,原始形态,本来的样子,0.94,1.18,78.5,98.5,石冠王蜥（本来的样子）,2026-06-07T16:24:04Z,ok
NO.026,石冠王蜥（球球尾巴的样子）,石肤蜥（本来的样子）,两栖组、大地组,7.35,13.6,0.21,0.29,地,,地,最终形态,地区形态,球球尾巴的样子,0.94,1.18,76.5,95.5,石冠王蜥（球球尾巴的样子）,2026-06-07T14:06:43Z,ok
NO.027,布是石,布是石,大地组、巨灵组,6.475,13,0.18,0.25,地,,地,Ⅰ阶,原始形态,,0.42,0.6,18.5,32.5,布是石,2026-06-07T13:38:10Z,ok
NO.028,布是岩,布是石,大地组、巨灵组,6.475,13,0.18,0.25,地,,地,Ⅱ阶,原始形态,,0.93,1.34,97.5,115,布是岩,2026-06-07T13:38:04Z,ok
NO.029,布克棱岩,布是石,大地组、巨灵组,6.475,13,0.18,0.25,地,,地,最终形态,原始形态,,1.75,2.5,287,315,布克棱岩,2026-06-07T13:38:01Z,ok
NO.030,恶魔叮,恶魔叮,妖精组,1.26,1.64,0.17,0.23,恶,翼,恶、翼,Ⅰ阶,原始形态,,0.39,0.56,3.6,5.2,恶魔叮,2026-06-07T04:48:32Z,ok
NO.031,叮叮恶魔,恶魔叮,妖精组,1.26,1.64,0.17,0.23,恶,翼,恶、翼,最终形态,原始形态,,0.78,1.12,25,34,叮叮恶魔,2026-06-07T13:23:41Z,ok
NO.032,毛毛,毛毛,昆虫组、软体组,1.05,1.8,0.13,0.19,虫,萌,虫、萌,Ⅰ阶,原始形态,,0.31,0.45,3,4.5,毛毛,2026-06-07T13:59:36Z,ok
NO.033,爬爬,毛毛,昆虫组、软体组,1.05,1.8,0.13,0.19,虫,萌,虫、萌,Ⅱ阶,原始形态,,0.35,0.51,5.5,8.4,爬爬,2026-06-07T14:04:58Z,ok
NO.034,化蝶（平常的样子）,毛毛（平常的样子）,昆虫组、软体组,1.05,1.8,0.13,0.19,虫,萌,虫、萌,最终形态,原始形态,平常的样子,0.76,1.08,15.6,17.8,化蝶（平常的样子）,2026-06-07T13:20:07Z,ok
NO.035,幽影树,幽影树,妖精组、植物组,10.325,15,0.27,0.38,幽,草,幽、草,最终形态,原始形态,,0.64,0.92,29.5,37.5,幽影树,2026-05-31T12:30:11Z,ok
NO.036,小鼠獭,小鼠獭,两栖组、动物组,2.345,3,0.16,0.22,普通,水,普通、水,Ⅰ阶,原始形态,,0.37,0.53,6.7,7.5,小鼠獭,2026-06-07T13:37:07Z,ok
NO.037,燕尾獭,小鼠獭,两栖组、动物组,2.345,3,0.16,0.22,普通,水,普通、水,Ⅱ阶,原始形态,,0.61,0.88,28.6,31.5,燕尾獭,2026-06-07T14:04:50Z,ok
NO.038,卷胡巨獭,小鼠獭,两栖组、动物组,2.345,3,0.16,0.22,普通,水,普通、水,最终形态,原始形态,,0.76,1.08,76.5,90,卷胡巨獭,2026-06-07T13:23:00Z,ok
NO.039,矿晶虫,矿晶虫,大地组、软体组,2.03,2.52,0.23,0.32,光,地,光、地,Ⅰ阶,原始形态,,0.54,0.77,5.8,10.53,矿晶虫,2026-06-07T14:07:22Z,ok
NO.040,晶石蜗（西瓜碧玺的样子）,矿晶虫（西瓜碧玺的样子）,大地组、软体组,2.03,2.52,0.23,0.32,光,地,光、地,最终形态,原始形态,西瓜碧玺的样子,1.03,1.35,59.1,71.05,晶石蜗（西瓜碧玺的样子）,2026-06-07T13:54:49Z,ok
NO.040,晶石蜗（莲花刚玉的样子）,矿晶虫（莲花刚玉的样子）,大地组、软体组,2.03,2.52,0.23,0.32,光,地,光、地,最终形态,地区形态,莲花刚玉的样子,1.03,1.35,59.1,71.05,晶石蜗（莲花刚玉的样子）,2026-06-07T13:54:31Z,ok
NO.040,晶石蜗（星彩榴石的样子）,矿晶虫（星彩榴石的样子）,大地组、软体组,2.03,2.52,0.23,0.32,光,地,光、地,最终形态,地区形态,星彩榴石的样子,1.03,1.35,59.1,71.05,晶石蜗（星彩榴石的样子）,2026-06-07T13:54:24Z,ok
NO.040,晶石蜗（火山琉璃的样子）,矿晶虫（火山琉璃的样子）,大地组、软体组,2.03,2.52,0.23,0.32,光,地,光、地,最终形态,地区形态,火山琉璃的样子,1.03,1.35,59.1,71.05,晶石蜗（火山琉璃的样子）,2026-06-07T13:54:25Z,ok
NO.040,晶石蜗（蓝锥矿的样子）,矿晶虫（蓝锥矿的样子）,大地组、软体组,2.03,2.52,0.23,0.32,光,地,光、地,最终形态,地区形态,蓝锥矿的样子,1.03,1.35,59.1,71.05,晶石蜗（蓝锥矿的样子）,2026-06-07T13:54:39Z,ok
NO.040,晶石蜗（烧蓝黄金的样子）,矿晶虫（烧蓝黄金的样子）,大地组、软体组,2.03,2.52,0.23,0.32,光,地,光、地,最终形态,地区形态,烧蓝黄金的样子,1.03,1.35,59.1,71.05,晶石蜗（烧蓝黄金的样子）,2026-06-07T13:54:29Z,ok
NO.041,奇丽草,奇丽草,植物组,1.435,2.28,0.16,0.23,草,,草,Ⅰ阶,原始形态,,0.38,0.55,4.1,5.7,奇丽草,2026-06-07T13:31:41Z,ok
NO.042,奇丽叶,奇丽草,植物组,1.435,2.28,0.16,0.23,草,,草,Ⅱ阶,原始形态,,0.62,0.89,24,31,奇丽叶,2026-06-07T13:31:16Z,ok
NO.043,奇丽花,奇丽草,植物组,1.435,2.28,0.16,0.23,草,,草,最终形态,原始形态,,1.11,1.58,42,58,奇丽花,2026-06-07T13:31:34Z,ok
NO.044,丢丢（草地附近的样子）,丢丢（草地附近的样子）,两栖组,1.505,2.44,0.15,0.21,草,,草,Ⅰ阶,原始形态,草地附近的样子,0.35,0.51,4.3,6.1,丢丢（草地附近的样子）,2026-06-07T13:15:14Z,ok
NO.044,丢丢（沙地附近的样子）,丢丢（沙地附近的样子）,两栖组,1.505,2.44,0.15,0.21,草,地,草、地,Ⅰ阶,地区形态,沙地附近的样子,0.35,0.51,4.3,6.1,丢丢（沙地附近的样子）,2026-06-07T13:15:01Z,ok
NO.044,丢丢（雪山附近的样子）,丢丢（雪山附近的样子）,两栖组,1.505,2.44,0.15,0.21,草,冰,草、冰,Ⅰ阶,地区形态,雪山附近的样子,0.35,0.51,4.3,6.1,丢丢（雪山附近的样子）,2026-06-07T13:15:25Z,ok
NO.045,卡卡虫（草地附近的样子）,丢丢（草地附近的样子）,两栖组,1.505,2.44,0.15,0.21,草,,草,Ⅱ阶,原始形态,草地附近的样子,0.53,0.76,18.5,21.6,卡卡虫（草地附近的样子）,2026-06-07T13:20:52Z,ok
NO.045,卡卡虫（沙地附近的样子）,丢丢（沙地附近的样子）,两栖组,1.505,2.44,0.15,0.21,草,地,草、地,Ⅱ阶,地区形态,沙地附近的样子,0.53,0.76,18.5,21.6,卡卡虫（沙地附近的样子）,2026-06-07T13:20:48Z,ok
NO.045,卡卡虫（雪山附近的样子）,丢丢（雪山附近的样子）,两栖组,1.505,2.44,0.15,0.21,草,冰,草、冰,Ⅱ阶,地区形态,雪山附近的样子,0.53,0.76,18.5,21.6,卡卡虫（雪山附近的样子）,2026-06-07T13:21:03Z,ok
NO.046,卡瓦重（草地附近的样子）,丢丢（草地附近的样子）,两栖组,1.505,2.44,0.15,0.21,草,,草,最终形态,原始形态,草地附近的样子,0.76,1.09,29,35.85,卡瓦重（草地附近的样子）,2026-06-07T13:22:48Z,ok
NO.046,卡瓦重（沙地附近的样子）,丢丢（沙地附近的样子）,两栖组,1.505,2.44,0.15,0.21,草,地,草、地,最终形态,地区形态,沙地附近的样子,0.76,1.09,29,35.85,卡瓦重（沙地附近的样子）,2026-06-07T13:22:34Z,ok
NO.046,卡瓦重（雪山附近的样子）,丢丢（雪山附近的样子）,两栖组,1.505,2.44,0.15,0.21,草,冰,草、冰,最终形态,地区形态,雪山附近的样子,0.76,1.09,29,35.85,卡瓦重（雪山附近的样子）,2026-06-07T13:22:56Z,ok
NO.047,护主犬,护主犬,动物组,4.76,7,0.27,0.38,火,,火,Ⅰ阶,原始形态,,0.64,0.92,13.6,17.5,护主犬,2026-06-07T13:40:03Z,ok
NO.048,音速犬,护主犬,动物组,4.76,7,0.27,0.38,火,,火,最终形态,原始形态,,1.13,1.62,39.5,51.5,音速犬,2026-06-07T14:35:13Z,ok
NO.049,绿耳松鼠,绿耳松鼠,动物组,1.225,2.4,0.2,0.28,普通,,普通,Ⅰ阶,原始形态,,0.47,0.68,3.5,6,绿耳松鼠,2026-06-07T14:09:45Z,ok
NO.050,抱枕松鼠,绿耳松鼠,动物组,1.225,2.4,0.2,0.28,普通,,普通,Ⅱ阶,原始形态,,0.6,0.84,21.05,27.08,抱枕松鼠,2026-06-07T13:40:07Z,ok
NO.051,蹦床松鼠,绿耳松鼠,动物组,1.225,2.4,0.2,0.28,普通,,普通,最终形态,原始形态,,0.78,1.12,47.5,68.4,蹦床松鼠,2026-06-07T14:14:54Z,ok
NO.052,嘟嘟煲,嘟嘟煲,大地组、妖精组,16.975,22.4,0.28,0.33,毒,,毒,Ⅰ阶,原始形态,,0.65,0.8,48.5,56,嘟嘟煲,2026-06-07T13:26:18Z,ok
NO.053,嘟嘟锅,嘟嘟煲,大地组、妖精组,16.975,22.4,0.28,0.33,毒,,毒,最终形态,原始形态,,0.64,0.91,67.9,89.2,嘟嘟锅,2026-06-07T13:26:23Z,ok
NO.054,小灵面,小灵面,魔力组,0.035,0.06,0.16,0.23,幽,,幽,Ⅰ阶,原始形态,,0.38,0.55,0.1,0.55,小灵面,2026-06-07T04:15:28Z,ok
NO.055,暗影灵面（睁眼的样子）,小灵面（睁眼的样子）,魔力组,0.035,0.06,0.16,0.23,幽,,幽,Ⅱ阶,原始形态,睁眼的样子,0.75,0.86,0.12,1.16,暗影灵面（睁眼的样子）,2026-06-07T13:54:51Z,ok
NO.055,暗影灵面（闭眼的样子）,小灵面（闭眼的样子）,魔力组,0.035,0.06,0.16,0.23,幽,,幽,Ⅱ阶,地区形态,闭眼的样子,0.75,0.86,0.12,1.16,暗影灵面（闭眼的样子）,2026-06-07T13:54:52Z,ok
NO.056,幽冥眼（睁眼的样子）,小灵面（睁眼的样子）,魔力组,0.035,0.06,0.16,0.23,幽,,幽,最终形态,原始形态,睁眼的样子,1.55,1.65,1.5,2.86,幽冥眼（睁眼的样子）,2026-06-07T13:39:31Z,ok
NO.056,幽冥眼（闭眼的样子）,小灵面（闭眼的样子）,魔力组,0.035,0.06,0.16,0.23,幽,,幽,最终形态,地区形态,闭眼的样子,1.55,1.65,1.5,2.86,幽冥眼（闭眼的样子）,2026-06-07T13:39:35Z,ok
NO.057,梦游（穿旧睡衣的样子）,梦游（穿旧睡衣的样子）,妖精组、魔力组,0.298,0.42,0.21,0.25,幽,,幽,Ⅰ阶,原始形态,穿旧睡衣的样子,0.5,0.6,0.6,1.87,梦游（穿旧睡衣的样子）,2026-06-07T13:58:14Z,ok
NO.058,梦悠悠（穿旧睡衣的样子）,梦游（穿旧睡衣的样子）,妖精组、魔力组,0.298,0.42,0.21,0.25,幽,,幽,最终形态,原始形态,穿旧睡衣的样子,1,1.2,1.25,3.1,梦悠悠（穿旧睡衣的样子）,2026-06-07T13:57:47Z,ok
NO.059,兽花蕾,兽花蕾,植物组,1.488,2.6,0.16,0.19,光,草,光、草,最终形态,原始形态,,0.38,0.45,4.25,6.5,兽花蕾,2026-06-07T13:17:54Z,ok
NO.060,伏地兽,伏地兽,动物组,4.34,6.32,0.22,0.31,普通,,普通,Ⅰ阶,原始形态,,0.52,0.74,12.4,15.8,伏地兽,2026-06-07T13:17:24Z,ok
NO.061,贪食鼹,伏地兽,动物组,4.34,6.32,0.22,0.31,普通,,普通,Ⅱ阶,原始形态,,0.84,1.21,21.6,35.84,贪食鼹,2026-06-07T14:14:42Z,ok
NO.062,巨噬针鼹,伏地兽,动物组,4.34,6.32,0.22,0.31,普通,,普通,最终形态,原始形态,,1.52,1.79,87.3,105,巨噬针鼹,2026-06-07T13:37:23Z,ok
NO.063,蹦蹦种子（海神球形态）,蹦蹦种子（海神球形态）,植物组,1.505,2.24,0.2,0.28,草,毒,草、毒,Ⅰ阶,原始形态,海神球形态,0.46,0.67,4.3,5.6,蹦蹦种子（海神球形态）,2026-06-07T14:15:01Z,ok
NO.063,蹦蹦种子（彩玉球形态）,蹦蹦种子（彩玉球形态）,植物组,1.505,2.24,0.2,0.28,草,毒,草、毒,Ⅰ阶,地区形态,彩玉球形态,0.46,0.67,4.3,5.6,蹦蹦种子（彩玉球形态）,2026-06-07T14:14:55Z,ok
NO.063,蹦蹦种子（短毛球形态）,蹦蹦种子（短毛球形态）,植物组,1.505,2.24,0.2,0.28,草,毒,草、毒,Ⅰ阶,地区形态,短毛球形态,0.46,0.67,4.3,5.6,蹦蹦种子（短毛球形态）,2026-06-07T14:15:01Z,ok
NO.063,蹦蹦种子（象牙球形态）,蹦蹦种子（象牙球形态）,植物组,1.505,2.24,0.2,0.28,草,毒,草、毒,Ⅰ阶,地区形态,象牙球形态,0.46,0.67,4.3,5.6,蹦蹦种子（象牙球形态）,2026-06-07T14:15:02Z,ok
NO.064,蹦蹦草（海神球形态）,蹦蹦种子（海神球形态）,植物组,1.505,2.24,0.2,0.28,草,毒,草、毒,Ⅱ阶,原始形态,海神球形态,0.59,0.85,34.3,42.9,蹦蹦草（海神球形态）,2026-06-07T14:15:37Z,ok
NO.064,蹦蹦草（彩玉球形态）,蹦蹦种子（彩玉球形态）,植物组,1.505,2.24,0.2,0.28,草,毒,草、毒,Ⅱ阶,地区形态,彩玉球形态,0.59,0.85,34.3,42.9,蹦蹦草（彩玉球形态）,2026-06-07T14:15:34Z,ok
NO.064,蹦蹦草（短毛球形态）,蹦蹦种子（短毛球形态）,植物组,1.505,2.24,0.2,0.28,草,毒,草、毒,Ⅱ阶,地区形态,短毛球形态,0.59,0.85,34.3,42.9,蹦蹦草（短毛球形态）,2026-06-07T14:15:42Z,ok
NO.064,蹦蹦草（象牙球形态）,蹦蹦种子（象牙球形态）,植物组,1.505,2.24,0.2,0.28,草,毒,草、毒,Ⅱ阶,地区形态,象牙球形态,0.59,0.85,34.3,42.9,蹦蹦草（象牙球形态）,2026-06-07T14:15:42Z,ok
